timestamp,symbol,open,high,low,close,volume,volume_buy,volume_sell,trade_count,vwap,volatility_hv,bid_ask_spread,ob_imbalance_5,ob_wall_bid,ob_wall_ask,flow_delta_1m,flow_delta_5m,large_trade_count,bid_qty_1,bid_qty_2,bid_qty_3,ask_qty_1,ask_qty_2,ask_qty_3,bid_price_1,ask_price_1,funding_rate,funding_predicted,open_interest,oi_change_1h,long_short_ratio,implied_volatility,iv_rank,delta_exposure,put_call_ratio_vol,put_call_ratio_oi,gamma_strike_1,gamma_strike_2,gamma_strike_3,theta,vega,whale_inflow,whale_outflow,news_sentiment,social_hype_index,fear_greed_index,correlation_spx,correlation_dxy,time_hour,time_day,is_weekend
2025-12-05 06:37:38.882+00,BTCUSDT,93297.63,93621.31,90889,92064.04,0.00098,,,5199914,92463.87943709,,0.010000000009313226,0.28914613039777115,,,,,,3.88315,0.00075,0.00039,2.14112,0.00062,6e-05,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:39.909+00,BTCUSDT,93297.64,93621.31,90889,92064.04,0.02866,,,5199913,92463.87902018,,0.010000000009313226,0.26080515403231075,,,,,,3.85403,0.00075,0.00039,2.25945,0.00068,6e-05,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:40.338+00,BTCUSDT,93297.63,93621.31,90889,92064.04,16772.18083,,,5199913,92463.8782791,,0.010000000009313226,0.13351810960836638,,,,,,2.95284,0.0035,0.00039,2.25941,0.00068,6e-05,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:41.112+00,BTCUSDT,93297.63,93621.31,90889,92064.05,0.00021,,,5199914,92463.8782791,,0.010000000009313226,0.4215252660601603,,,,,,4.22894,0.00344,0.00039,1.72167,0.00068,6e-05,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:42.947+00,BTCUSDT,93297.63,93621.31,90889,92064.04,16772.00882,,,5199910,92463.86881766,,0.010000000009313226,0.3685924127258271,,,,,,3.99772,0.00344,0.00045,1.84536,0.00068,6e-05,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:43.398+00,BTCUSDT,93297.63,93621.31,90889,92064.04,16772.00926,,,5199911,92463.86880717,,0.010000000009313226,0.40404478988093273,,,,,,4.05422,0.00344,0.00045,1.72168,0.00068,6e-05,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:45.006+00,BTCUSDT,93297.64,93621.31,90889,92064.05,16772.0092,,,5199911,92463.86879463,,0.010000000009313226,0.428338372828915,,,,,,4.05853,0.00338,0.00045,1.62512,0.00062,6e-05,92064.04,92064.05,,,250137,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:46.555+00,BTCUSDT,93297.64,93621.31,90889,92075.49,0.00221,,,5200394,92463.86114581,,0.00999999999476131,0.9633814089386639,,,,,,5.32523,6e-05,0.00033,0.09948,0.00054,6e-05,92075.49,92075.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:47.668+00,BTCUSDT,93297.64,93621.31,90889,92086.36,6e-05,,,5200460,92463.85961173,,0.010000000009313226,0.999168069377972,,,,,,7.4905,1.90913,0.00039,0.00279,0.00132,6e-05,92077.84,92077.85,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:47.7+00,BTCUSDT,93297.64,93621.31,90889,92086.35,16772.30677,,,5200822,92463.84897684,,0.00999999999476131,0.34579635104506873,,,,,,4.11255,0.00012,0.06127,2.02825,0.00066,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:49.312+00,BTCUSDT,93297.64,93621.31,90889,92086.35,0.01307,,,5200822,92463.84879206,,0.00999999999476131,0.2671789064522871,,,,,,4.00026,0.00012,0.06127,2.34818,0.00066,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:49.851+00,BTCUSDT,93306.96,93621.31,90889,92086.35,16772.22854,,,5200648,92463.84403178,,0.00999999999476131,0.3080395196586562,,,,,,4.04856,0.00093,0.05526,2.17048,0.00078,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:51.851+00,BTCUSDT,93306.97,93621.31,90889,92086.35,16772.21164,,,5200647,92463.84310437,,0.00999999999476131,0.5112616983371883,,,,,,4.14684,0.00075,0.17437,1.39679,0.00078,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:53.571+00,BTCUSDT,93306.97,93621.31,90889,92086.35,16772.15651,,,5200646,92463.84024063,,0.00999999999476131,-0.5468146623404667,,,,,,0.80535,0.0022,0.00033,2.75695,0.00068,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:58.412+00,BTCUSDT,93306.96,93621.31,90889,92086.36,0.00014,,,5200646,92463.83664434,,0.00999999999476131,-0.5468485727348459,,,,,,0.80508,0.00226,0.00033,2.7565,0.00068,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:59.543+00,BTCUSDT,93306.97,93621.31,90889,92086.35,16772.09137,,,5200644,92463.83626596,,0.00999999999476131,-0.4897769190707615,,,,,,0.94269,0.00226,0.00033,2.75975,0.00044,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:01.627+00,BTCUSDT,93306.96,93621.31,90889,92086.36,0.07557,,,5200647,92463.83620362,,0.00999999999476131,-0.7583456042978043,,,,,,0.37058,0.00232,0.00033,2.7158,0.00038,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:02.876+00,BTCUSDT,93306.96,93621.31,90889,92086.35,16772.23909,,,5200653,92463.82967879,,0.00999999999476131,-0.8050596138715729,,,,,,0.28718,0.00226,0.00033,2.68369,0.00032,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:05.027+00,BTCUSDT,93306.96,93621.31,90889,92086.35,0.00064,,,5200655,92463.82960564,,0.00999999999476131,-0.457208834795838,,,,,,0.99286,0.00567,0.00033,2.68136,0.00032,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:05.733+00,BTCUSDT,93306.97,93621.31,90889,92086.36,16772.24547,,,5200654,92463.82862114,,0.00999999999476131,-0.38126211477430333,,,,,,1.04216,0.00579,0.07394,2.5042,0.00032,6e-05,92086.35,92086.36,,,250140,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:06.64+00,BTCUSDT,93306.96,93621.31,90889,92086.36,16772.24068,,,5200654,92463.82835633,,0.00999999999476131,0.529148209702018,,,,,,3.23691,0.15317,0.07394,1.0659,0.00059,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:08.29+00,BTCUSDT,93306.96,93621.31,90889,92086.36,0.00016,,,5200650,92463.82740045,,0.00999999999476131,0.36873979616685265,,,,,,3.05898,0.09889,0.07394,1.48973,0.00065,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:09.586+00,BTCUSDT,93306.97,93621.31,90889,92086.36,0.0021,,,5200652,92463.8270892,,0.00999999999476131,0.3808863977763075,,,,,,3.05844,0.186,0.074,1.48703,0.00065,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:10.135+00,BTCUSDT,93306.97,93621.31,90889,92086.36,0.00083,,,5200653,92463.82701088,,0.00999999999476131,-0.1781917526181379,,,,,,1.69485,0.09907,0.074,2.67781,0.00014,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:11.215+00,BTCUSDT,93306.97,93621.31,90889,92086.36,0.00084,,,5200654,92463.8269922,,0.00999999999476131,0.09176677270784857,,,,,,2.17324,0.05201,0.07394,1.91245,0.0002,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:12.174+00,BTCUSDT,93306.97,93621.31,90889,92086.36,0.00084,,,5200655,92463.82697329,,0.00999999999476131,0.22240149794828895,,,,,,2.22744,0.15306,0.074,1.56092,0.00038,6e-05,92086.35,92086.36,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:13.512+00,BTCUSDT,93306.97,93621.31,90889,92086.36,0.03257,,,5200655,92463.82685988,,0.00999999999476131,0.012197966125561588,,,,,,2.17416,0.05201,0.07394,1.752,0.00038,0.00012,92086.35,92086.36,,,,,,,,,,,,,,,,0,0,,,,,,,,
